ano,sigla_uf,id_municipio,populacao
1991,RO,1100015,31981
1992,RO,1100015,34768
1993,RO,1100015,37036
1994,RO,1100015,39325
1995,RO,1100015,41574
1996,RO,1100015,33471
1997,RO,1100015,25009
1998,RO,1100015,24793
1999,RO,1100015,25025
2000,RO,1100015,26533
2001,RO,1100015,26919
2002,RO,1100015,27237
2003,RO,1100015,27563
2004,RO,1100015,29001
2005,RO,1100015,28629
2006,RO,1100015,29005
2007,RO,1100015,23857
2008,RO,1100015,24577
2009,RO,1100015,24354
2010,RO,1100015,24392
2011,RO,1100015,24228
2012,RO,1100015,24069
2013,RO,1100015,25728
2014,RO,1100015,25652
2015,RO,1100015,25578
2016,RO,1100015,25506
2017,RO,1100015,25437
2018,RO,1100015,23167
2019,RO,1100015,22945
2020,RO,1100015,22728
2021,RO,1100015,22516
1991,RO,1100023,83684
1992,RO,1100023,61737
1993,RO,1100023,65899
1994,RO,1100023,69094
1995,RO,1100023,72206
1996,RO,1100023,68503
1997,RO,1100023,70956
1998,RO,1100023,71366
1999,RO,1100023,73228
2000,RO,1100023,74503
2001,RO,1100023,76371
2002,RO,1100023,78039
2003,RO,1100023,79680
2004,RO,1100023,86901
2005,RO,1100023,85031
2006,RO,1100023,86924
2007,RO,1100023,82388
2008,RO,1100023,84581
2009,RO,1100023,85541
2010,RO,1100023,90353
2011,RO,1100023,91570
2012,RO,1100023,92747
2013,RO,1100023,101269
2014,RO,1100023,102860
2015,RO,1100023,104401
2016,RO,1100023,105896
2017,RO,1100023,107345
2018,RO,1100023,106168
2019,RO,1100023,107863
2020,RO,1100023,109523
2021,RO,1100023,111148
1991,RO,1100031,8173
1992,RO,1100031,8633
1993,RO,1100031,9006
1994,RO,1100031,9384
1995,RO,1100031,9753
1996,RO,1100031,8263
1997,RO,1100031,7759
1998,RO,1100031,7785
1999,RO,1100031,7809
2000,RO,1100031,7518
2001,RO,1100031,7501
2002,RO,1100031,7490
2003,RO,1100031,7478
2004,RO,1100031,7421
2005,RO,1100031,7436
2006,RO,1100031,7421
2007,RO,1100031,6575
2008,RO,1100031,6777
2009,RO,1100031,6695
2010,RO,1100031,6313
2011,RO,1100031,6221
2012,RO,1100031,6132
2013,RO,1100031,6495
2014,RO,1100031,6424
2015,RO,1100031,6355
2016,RO,1100031,6289
2017,RO,1100031,6224
2018,RO,1100031,5438
2019,RO,1100031,5312
2020,RO,1100031,5188
2021,RO,1100031,5067
1991,RO,1100049,79036
1992,RO,1100049,72462
1993,RO,1100049,74691
1994,RO,1100049,76954
1995,RO,1100049,79162
1996,RO,1100049,72922
1997,RO,1100049,73724
1998,RO,1100049,74482
1999,RO,1100049,75171
2000,RO,1100049,73568
2001,RO,1100049,73996
2002,RO,1100049,74381
2003,RO,1100049,74758
2004,RO,1100049,76417
2005,RO,1100049,75988
2006,RO,1100049,76422
2007,RO,1100049,76155
2008,RO,1100049,78263
2009,RO,1100049,78675
2010,RO,1100049,78574
2011,RO,1100049,78959
2012,RO,1100049,79330
2013,RO,1100049,85863
2014,RO,1100049,86556
2015,RO,1100049,87226
2016,RO,1100049,87877
2017,RO,1100049,88507
2018,RO,1100049,84813
2019,RO,1100049,85359
2020,RO,1100049,85893
2021,RO,1100049,86416
1991,RO,1100056,21607
1992,RO,1100056,23280
1993,RO,1100056,24652
1994,RO,1100056,26042
1995,RO,1100056,27383
1996,RO,1100056,21157
1997,RO,1100056,19033
1998,RO,1100056,18931
1999,RO,1100056,18839
2000,RO,1100056,18207
2001,RO,1100056,18012
2002,RO,1100056,17925
2003,RO,1100056,17794
2004,RO,1100056,17217
2005,RO,1100056,17366
2006,RO,1100056,17215
2007,RO,1100056,16290
2008,RO,1100056,16784
2009,RO,1100056,16622
2010,RO,1100056,17029
2011,RO,1100056,16939
2012,RO,1100056,16852
2013,RO,1100056,18041
2014,RO,1100056,18013
2015,RO,1100056,17986
2016,RO,1100056,17959
2017,RO,1100056,17934
2018,RO,1100056,16444
2019,RO,1100056,16323
2020,RO,1100056,16204
2021,RO,1100056,16088
1991,RO,1100064,38994
1992,RO,1100064,27830
1993,RO,1100064,28901
1994,RO,1100064,29904
1995,RO,1100064,30881
1996,RO,1100064,24955
1997,RO,1100064,24629
1998,RO,1100064,24320
1999,RO,1100064,24040
2000,RO,1100064,21892
